FUR1	B9J08_004076
TAC1B	B9J08_004820
ERG2	B9J08_004943
ERG3	B9J08_003737
ERG5	B9J08_002349
ERG5_1	B9J08_004161
ERG5_2	B9J08_005308
ERG5_3	B9J08_005548
ERG5_4	B9J08_001515
ERG5_5	B9J08_001364
ERG5_6	B9J08_001588
ERG5_7	B9J08_001372
ERG5_8	B9J08_004478
ERG6	B9J08_005340
CDR1	B9J08_000164
CDR1_1	B9J08_002451
MDR1	B9J08_003981
MDR1_1	B9J08_004113
MDR1_2	B9J08_005035
MSH2	B9J08_005310
PMS1	B9J08_000094
PDR1	B9J08_002448
HOG1	B9J08_004369
ERG11	B9J08_001448
ERG11_1	B9J08_002668
ERG7	B9J08_005007
STE6	B9J08_002389
YMC1	B9J08_002816
ERG25_1	B9J08_000367
ERG26	B9J08_000920
ERG28	B9J08_002817
ERG24	B9J08_003026
ERG20	B9J08_003125
ERG29	B9J08_003345
ERG27	B9J08_004245
ERG25	B9J08_005230
MLH1	B9J08_004425
